# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "2" "-p" "--countReadPairs" "-B" "-C" "-s" "2" "-t" "gene" "-g" "ID" "-a" "reference_genome/annotation.gff3" "-o" "results/day2_rnaseq/counts/featureCounts_all_samples.txt" "results/day2_rnaseq/bam/WTS_1.filtered.bam" "results/day2_rnaseq/bam/WTS_2.filtered.bam" "results/day2_rnaseq/bam/WTS_3.filtered.bam" "results/day2_rnaseq/bam/WT_1.filtered.bam" "results/day2_rnaseq/bam/WT_2.filtered.bam" "results/day2_rnaseq/bam/WT_3.filtered.bam" 
Geneid	Chr	Start	End	Strand	Length	results/day2_rnaseq/bam/WTS_1.filtered.bam	results/day2_rnaseq/bam/WTS_2.filtered.bam	results/day2_rnaseq/bam/WTS_3.filtered.bam	results/day2_rnaseq/bam/WT_1.filtered.bam	results/day2_rnaseq/bam/WT_2.filtered.bam	results/day2_rnaseq/bam/WT_3.filtered.bam
gene-OW489_RS02875	NZ_AP026446.1	598368	599696	+	1329	4911	5166	6202	5595	7650	5362
gene-OW489_RS02880	NZ_AP026446.1	599709	601037	+	1329	1517	1372	1663	817	1072	798
gene-OW489_RS02885	NZ_AP026446.1	601052	602119	+	1068	318	675	850	157	426	154
gene-OW489_RS02890	NZ_AP026446.1	602176	603300	+	1125	5100	5654	6488	7531	11254	6607
gene-OW489_RS02895	NZ_AP026446.1	603313	605634	+	2322	14090	12509	13566	12656	17360	11455
gene-OW489_RS02900	NZ_AP026446.1	605730	606119	-	390	0	0	0	0	0	0
gene-OW489_RS02910	NZ_AP026446.1	606575	607786	+	1212	922	1630	1632	801	964	743
gene-OW489_RS02915	NZ_AP026446.1	607786	608424	+	639	2030	1755	1886	763	1160	823
gene-OW489_RS02920	NZ_AP026446.1	608435	609742	+	1308	1624	1874	1834	1551	2121	1438
gene-OW489_RS02925	NZ_AP026446.1	609744	611123	+	1380	554	597	810	757	1416	795
gene-OW489_RS02930	NZ_AP026446.1	611146	611910	+	765	444	508	659	477	857	567
gene-OW489_RS02935	NZ_AP026446.1	612245	612361	+	117	0	0	0	0	0	0
gene-OW489_RS02940	NZ_AP026446.1	612579	614024	-	1446	13802	10415	10945	14770	15670	14043
gene-OW489_RS02945	NZ_AP026446.1	614250	614546	+	297	0	0	0	0	0	0
gene-OW489_RS02950	NZ_AP026446.1	614972	615421	+	450	237	804	1010	993	1915	1074
gene-OW489_RS02955	NZ_AP026446.1	615425	615967	+	543	147	229	326	164	403	183
gene-OW489_RS02960	NZ_AP026446.1	615967	617298	+	1332	4378	4765	5972	3358	5684	3065
gene-OW489_RS02965	NZ_AP026446.1	617298	618203	+	906	1974	2645	2928	823	1062	669
gene-OW489_RS02970	NZ_AP026446.1	618200	619192	+	993	3050	2501	2664	1070	1545	870
gene-OW489_RS02980	NZ_AP026446.1	620262	620609	+	348	3646	1853	2236	6569	9957	6225
gene-OW489_RS08115	NZ_AP026446.1	620625	620822	+	198	0	0	0	0	0	3
gene-OW489_RS02985	NZ_AP026446.1	620838	622283	+	1446	1443	2358	2480	3069	3654	2629
gene-OW489_RS02990	NZ_AP026446.1	622293	622802	+	510	0	0	0	0	0	0
gene-OW489_RS02995	NZ_AP026446.1	623109	625355	-	2247	2419	2845	2901	1712	2545	1525
gene-OW489_RS03000	NZ_AP026446.1	625364	626356	-	993	2250	2403	2522	2742	3115	2664
gene-OW489_RS03005	NZ_AP026446.1	626361	626960	-	600	1562	2220	2010	2626	3290	2668
gene-OW489_RS03010	NZ_AP026446.1	627098	632491	-	5394	3380	5203	5033	3643	4830	3254
gene-OW489_RS03015	NZ_AP026446.1	632506	634071	-	1566	937	2568	2461	1590	1687	1220
gene-OW489_RS03020	NZ_AP026446.1	634124	635731	-	1608	1494	2352	2521	1648	2074	1648
gene-OW489_RS03025	NZ_AP026446.1	635736	636494	-	759	3258	5318	5452	5216	6527	4968
gene-OW489_RS03030	NZ_AP026446.1	636769	637416	+	648	1105	2000	2120	2863	3221	2934
gene-OW489_RS03035	NZ_AP026446.1	637432	638274	+	843	1732	3019	3343	6166	7060	6717
gene-OW489_RS03040	NZ_AP026446.1	638474	639073	-	600	1675	1929	2055	2330	3118	2287
gene-OW489_RS03045	NZ_AP026446.1	639759	639947	+	189	0	0	0	0	0	0
gene-OW489_RS03050	NZ_AP026446.1	639884	640264	+	381	12	8	5	20	24	19
gene-OW489_RS03055	NZ_AP026446.1	641143	641487	-	345	263	4693	4174	1084	1771	1143
gene-OW489_RS03060	NZ_AP026446.1	641911	643041	+	1131	3391	5270	5780	6282	7975	5565
gene-OW489_RS03065	NZ_AP026446.1	643056	643976	+	921	627	1563	1695	1149	1430	907
gene-OW489_RS03070	NZ_AP026446.1	644058	644771	-	714	425	761	756	527	719	417
gene-OW489_RS03075	NZ_AP026446.1	644768	645913	-	1146	1632	1955	1927	3382	4407	3057
gene-OW489_RS03080	NZ_AP026446.1	645924	646868	-	945	4313	4187	4458	8594	10940	7885
gene-OW489_RS03085	NZ_AP026446.1	646855	647052	+	198	51	55	65	87	89	89
gene-OW489_RS03090	NZ_AP026446.1	647038	647469	-	432	2177	2660	2565	4997	6536	4580
gene-OW489_RS03095	NZ_AP026446.1	647524	648330	-	807	3435	5919	6198	6203	8790	6070
gene-OW489_RS03100	NZ_AP026446.1	648332	651283	-	2952	12824	12894	13507	7366	11025	6935
gene-OW489_RS03105	NZ_AP026446.1	651292	651915	-	624	7176	8988	10290	11199	16902	10966
gene-OW489_RS03110	NZ_AP026446.1	651917	652264	-	348	4838	5195	5427	9701	7715	10059
gene-OW489_RS03115	NZ_AP026446.1	652431	652658	-	228	27	94	121	18	28	24
gene-OW489_RS03120	NZ_AP026446.1	652925	656470	+	3546	2341	2372	2868	14794	21807	10449
gene-OW489_RS03130	NZ_AP026446.1	656949	657716	-	768	1803	2523	2361	469	725	405
gene-OW489_RS03135	NZ_AP026446.1	657756	659072	-	1317	22472	15654	16115	6857	8596	5967
gene-OW489_RS03140	NZ_AP026446.1	659332	659535	+	204	1403	2849	3286	3686	4601	3460
gene-OW489_RS03145	NZ_AP026446.1	659560	660423	+	864	4867	4114	4908	3493	5537	3691
gene-OW489_RS03150	NZ_AP026446.1	660436	661119	+	684	810	618	703	383	403	470
gene-OW489_RS03155	NZ_AP026446.1	661132	662097	+	966	919	1427	1610	810	1409	779
gene-OW489_RS03160	NZ_AP026446.1	662094	662915	+	822	1227	1341	1480	568	850	581
gene-OW489_RS03170	NZ_AP026446.1	663629	664567	-	939	7732	6021	8372	3291	5594	3206
gene-OW489_RS03175	NZ_AP026446.1	664590	665798	-	1209	14830	9165	12960	8997	13132	9864
gene-OW489_RS03180	NZ_AP026446.1	666131	666367	-	237	2951	5437	5662	5760	5133	6341
gene-OW489_RS03185	NZ_AP026446.1	666598	667341	-	744	3950	4262	4673	2112	2751	2560
gene-OW489_RS03190	NZ_AP026446.1	667378	667590	-	213	2357	4808	5275	2958	4216	3052
gene-OW489_RS03195	NZ_AP026446.1	667692	668942	-	1251	1127	1847	1983	2053	2452	2014
gene-OW489_RS03200	NZ_AP026446.1	669116	669361	+	246	343	1154	1083	354	471	372
gene-OW489_RS03205	NZ_AP026446.1	669385	670032	-	648	9794	7726	8852	15160	19653	14504
gene-OW489_RS03210	NZ_AP026446.1	670139	670960	-	822	290	399	429	579	728	679
gene-OW489_RS03215	NZ_AP026446.1	671076	672122	+	1047	107	146	161	169	164	142
gene-OW489_RS03220	NZ_AP026446.1	672257	673129	-	873	193	364	384	61	145	49
gene-OW489_RS03225	NZ_AP026446.1	673163	674263	-	1101	17003	7429	8778	8100	10834	7524
gene-OW489_RS03230	NZ_AP026446.1	674265	675755	-	1491	22379	17563	20259	22574	34438	20483
gene-OW489_RS03235	NZ_AP026446.1	675803	676381	-	579	320	649	621	506	593	600
gene-OW489_RS03240	NZ_AP026446.1	676396	676935	-	540	864	1102	1223	1057	1532	1041
gene-OW489_RS03245	NZ_AP026446.1	676993	677325	-	333	421	1939	2008	2442	2474	1979
gene-OW489_RS03250	NZ_AP026446.1	677377	677832	-	456	592	428	501	426	561	361
gene-OW489_RS03255	NZ_AP026446.1	677853	678551	-	699	919	954	1030	780	971	677
gene-OW489_RS03260	NZ_AP026446.1	678560	679432	-	873	2273	2703	2822	2760	3377	2635
gene-OW489_RS03265	NZ_AP026446.1	679432	680304	-	873	1134	980	1124	672	633	587
gene-OW489_RS03270	NZ_AP026446.1	680383	682410	-	2028	233	599	511	167	195	175
gene-OW489_RS03275	NZ_AP026446.1	682416	682970	-	555	8	73	83	14	18	16
gene-OW489_RS03280	NZ_AP026446.1	682977	684095	-	1119	90	206	205	81	94	74
gene-OW489_RS03285	NZ_AP026446.1	684071	685090	-	1020	762	1060	1126	646	848	492
gene-OW489_RS03290	NZ_AP026446.1	685094	686062	-	969	273	855	895	437	475	418
gene-OW489_RS03295	NZ_AP026446.1	686046	686921	-	876	609	1255	1508	397	519	293
gene-OW489_RS03300	NZ_AP026446.1	686918	687289	-	372	2439	2377	2485	1516	1964	1367
gene-OW489_RS03305	NZ_AP026446.1	687371	688021	-	651	45	70	46	32	35	22
gene-OW489_RS03310	NZ_AP026446.1	688024	688254	-	231	0	3	3	4	4	0
gene-OW489_RS03315	NZ_AP026446.1	688251	691190	-	2940	726	1955	2255	1109	1456	832
gene-OW489_RS03320	NZ_AP026446.1	691108	692097	+	990	182	275	331	205	250	188
gene-OW489_RS03325	NZ_AP026446.1	692281	692622	+	342	1731	1542	1407	1520	930	1653
gene-OW489_RS03330	NZ_AP026446.1	692622	693749	+	1128	5843	4239	4465	5777	7574	5832
gene-OW489_RS03335	NZ_AP026446.1	693751	694572	+	822	4043	2376	2570	3487	6427	3440
gene-OW489_RS03340	NZ_AP026446.1	694572	695126	+	555	748	851	931	1216	2009	1260
gene-OW489_RS03345	NZ_AP026446.1	695235	697013	+	1779	1465	2960	3241	800	1142	768
gene-OW489_RS03350	NZ_AP026446.1	697180	697344	+	165	43	88	87	25	28	22
gene-OW489_RS03355	NZ_AP026446.1	697353	698822	+	1470	596	674	743	352	534	415
gene-OW489_RS03360	NZ_AP026446.1	698858	699173	+	316	6194	9467	12249	16952	21197	16642
gene-OW489_RS03365	NZ_AP026446.1	699356	699874	+	519	4903	4310	4882	4947	6990	4862
gene-OW489_RS03370	NZ_AP026446.1	699877	701862	-	1986	1682	1709	1765	1537	2094	1200
gene-OW489_RS03375	NZ_AP026446.1	701863	702984	-	1122	2196	2284	2376	1925	3179	1616
gene-OW489_RS03380	NZ_AP026446.1	703007	704308	-	1302	8997	8426	9146	13757	16896	13000
gene-OW489_RS03385	NZ_AP026446.1	704380	705306	-	927	0	12	11	0	0	0
gene-OW489_RS03390	NZ_AP026446.1	705450	706982	+	1533	141347	116170	127532	179655	192115	174924
gene-OW489_RS03395	NZ_AP026446.1	707110	707766	+	657	1669	1286	1608	416	706	386
gene-OW489_RS03400	NZ_AP026446.1	707763	708380	+	618	94	234	325	66	140	59
gene-OW489_RS03405	NZ_AP026446.1	708449	709468	+	1020	3677	3921	4409	4774	5954	4949
gene-OW489_RS03410	NZ_AP026446.1	709477	710910	+	1434	3255	3334	4318	5360	8495	4834
gene-OW489_RS03415	NZ_AP026446.1	710921	711625	+	705	686	724	901	1026	1327	1111
gene-OW489_RS03420	NZ_AP026446.1	711638	714718	+	3081	4178	3435	4507	4177	7183	4264
gene-OW489_RS03425	NZ_AP026446.1	714715	715284	+	570	122	241	286	304	374	297
gene-OW489_RS03430	NZ_AP026446.1	715437	724994	+	9558	3273	3551	4756	1416	2463	1228
gene-OW489_RS03435	NZ_AP026446.1	725053	725808	-	756	7	8	3	2	3	2
gene-OW489_RS03440	NZ_AP026446.1	725808	726509	-	702	3	75	72	22	21	7
gene-OW489_RS03445	NZ_AP026446.1	726830	727162	-	333	281	507	550	357	474	341
gene-OW489_RS03450	NZ_AP026446.1	727263	729233	-	1971	1781	1578	1661	2577	3665	2309
gene-OW489_RS03455	NZ_AP026446.1	729311	730252	+	942	823	999	956	1254	1737	1225
gene-OW489_RS03460	NZ_AP026446.1	730287	732020	+	1734	1894	2394	2684	2643	3997	2764
gene-OW489_RS03465	NZ_AP026446.1	732037	732612	+	576	456	334	374	467	690	526
gene-OW489_RS03470	NZ_AP026446.1	732637	733635	+	999	96	289	432	208	540	114
gene-OW489_RS03475	NZ_AP026446.1	733688	735028	+	1341	188	941	828	530	677	501
gene-OW489_RS03480	NZ_AP026446.1	735084	735605	+	522	2402	2957	2863	2317	2442	2348
gene-OW489_RS03485	NZ_AP026446.1	735753	738005	-	2253	766	1135	1110	308	422	198
gene-OW489_RS03490	NZ_AP026446.1	738023	738388	-	366	250	444	433	171	207	113
gene-OW489_RS03495	NZ_AP026446.1	738388	739737	-	1350	1079	1172	1240	499	544	388
gene-OW489_RS03500	NZ_AP026446.1	739730	740857	-	1128	847	1439	1538	520	726	421
gene-OW489_RS03505	NZ_AP026446.1	741012	742091	+	1080	2338	2420	2724	3070	3049	2969
gene-OW489_RS03510	NZ_AP026446.1	742103	743308	+	1206	563	555	797	1355	3643	1182
gene-OW489_RS03515	NZ_AP026446.1	743320	744378	+	1059	312	256	322	705	1405	653
gene-OW489_RS03520	NZ_AP026446.1	744644	746692	+	2049	112	102	132	130	180	111
gene-OW489_RS03525	NZ_AP026446.1	746741	747325	-	585	1817	1026	1062	2313	3540	2782
gene-OW489_RS03530	NZ_AP026446.1	747485	748639	+	1155	865	670	761	5971	9232	6303
gene-OW489_RS03535	NZ_AP026446.1	748656	750392	+	1737	1219	960	1220	9912	16792	10063
gene-OW489_RS03540	NZ_AP026446.1	750405	751079	+	675	218	232	315	2482	4734	2429
gene-OW489_RS03545	NZ_AP026446.1	751076	751612	+	537	787	352	389	1856	3207	1937
gene-OW489_RS03550	NZ_AP026446.1	751613	753151	+	1539	404	293	328	898	1923	734
gene-OW489_RS03555	NZ_AP026446.1	753156	753569	-	414	307	714	685	1013	1304	975
gene-OW489_RS03560	NZ_AP026446.1	753701	754153	-	453	804	1446	1495	2245	2608	2160
gene-OW489_RS03565	NZ_AP026446.1	754335	755252	+	918	0	0	0	0	0	0
gene-OW489_RS03570	NZ_AP026446.1	755351	756571	-	1221	565	964	913	440	511	375
gene-OW489_RS03575	NZ_AP026446.1	756988	757242	+	255	0	0	0	0	0	0
gene-OW489_RS03580	NZ_AP026446.1	757242	758363	+	1122	0	0	0	0	0	0
gene-OW489_RS03585	NZ_AP026446.1	758360	758575	+	216	0	0	0	0	0	0
gene-OW489_RS03590	NZ_AP026446.1	758577	758885	+	309	0	0	0	0	0	0
gene-OW489_RS03595	NZ_AP026446.1	758882	759841	+	960	0	0	0	0	0	0
gene-OW489_RS03600	NZ_AP026446.1	760039	760305	+	267	0	0	0	0	0	0
gene-OW489_RS03605	NZ_AP026446.1	760318	761487	+	1170	0	0	0	0	0	0
gene-OW489_RS03610	NZ_AP026446.1	761489	763054	+	1566	0	0	0	0	0	0
gene-OW489_RS03615	NZ_AP026446.1	763056	764729	+	1674	0	0	0	0	0	0
gene-OW489_RS03620	NZ_AP026446.1	767128	767328	-	201	0	0	0	0	0	0
gene-OW489_RS03625	NZ_AP026446.1	767663	768256	+	594	0	0	0	0	0	0
gene-OW489_RS03635	NZ_AP026446.1	769536	775037	+	5502	0	0	0	0	0	0
gene-OW489_RS03640	NZ_AP026446.1	775067	776377	+	1311	0	0	0	0	0	0
gene-OW489_RS03645	NZ_AP026446.1	776380	776931	+	552	0	0	0	0	0	0
gene-OW489_RS03650	NZ_AP026446.1	776928	777323	+	396	0	0	0	0	0	0
gene-OW489_RS03655	NZ_AP026446.1	777323	777724	+	402	0	0	0	0	0	0
gene-OW489_RS03660	NZ_AP026446.1	777721	778308	+	588	0	0	0	0	0	0
gene-OW489_RS03665	NZ_AP026446.1	778564	779133	+	570	0	0	0	0	0	0
gene-OW489_RS03670	NZ_AP026446.1	779144	780271	+	1128	0	0	0	0	0	0
gene-OW489_RS03675	NZ_AP026446.1	780286	780648	+	363	0	0	0	0	0	0
gene-OW489_RS03680	NZ_AP026446.1	780708	781139	+	432	0	0	0	0	0	0
gene-OW489_RS03685	NZ_AP026446.1	781203	783005	+	1803	0	0	0	0	0	0
gene-OW489_RS03690	NZ_AP026446.1	783105	784661	+	1557	0	0	0	0	0	0
gene-OW489_RS03695	NZ_AP026446.1	784724	784933	+	210	0	0	0	0	0	0
gene-OW489_RS03700	NZ_AP026446.1	784944	785174	+	231	0	0	0	0	0	0
gene-OW489_RS03705	NZ_AP026446.1	785178	785501	+	324	0	0	0	0	0	0
gene-OW489_RS03710	NZ_AP026446.1	785554	786549	+	996	0	0	0	0	0	0
gene-OW489_RS03715	NZ_AP026446.1	786533	786760	+	228	0	0	0	0	0	0
gene-OW489_RS03720	NZ_AP026446.1	786819	787364	+	546	0	0	0	0	0	0
gene-OW489_RS03725	NZ_AP026446.1	787366	788163	+	798	0	0	0	0	0	0
gene-OW489_RS03730	NZ_AP026446.1	788163	788783	+	621	0	0	0	0	0	0
gene-OW489_RS03735	NZ_AP026446.1	788783	789109	+	327	0	0	0	0	0	0
gene-OW489_RS03740	NZ_AP026446.1	789161	790042	+	882	0	0	0	0	0	0
gene-OW489_RS03745	NZ_AP026446.1	790059	790901	+	843	0	0	0	0	0	0
gene-OW489_RS03750	NZ_AP026446.1	790898	791683	+	786	0	0	0	0	0	0
gene-OW489_RS03755	NZ_AP026446.1	792218	794311	-	2094	2	4	4	3	0	1
gene-OW489_RS03760	NZ_AP026446.1	794538	795440	-	903	27	36	28	16	25	4
gene-OW489_RS03765	NZ_AP026446.1	795685	796029	-	345	16	48	50	4	4	4
gene-OW489_RS03770	NZ_AP026446.1	796049	796975	-	927	1996	2052	2201	501	628	399
gene-OW489_RS03775	NZ_AP026446.1	797155	797976	-	822	7617	8132	8874	5692	6944	5734
gene-OW489_RS03780	NZ_AP026446.1	798151	800976	+	2826	2119	2459	2442	1709	2119	1824
gene-OW489_RS03785	NZ_AP026446.1	801293	802438	-	1146	1818	2066	2097	1534	2444	1335
gene-OW489_RS03790	NZ_AP026446.1	802435	802908	-	474	489	636	657	497	863	397
gene-OW489_RS03795	NZ_AP026446.1	802908	805394	-	2487	5961	5348	5202	5773	7416	5568
gene-OW489_RS03800	NZ_AP026446.1	805414	805800	-	387	92	102	111	54	88	55
gene-OW489_RS03805	NZ_AP026446.1	805793	806821	-	1029	1450	1896	2256	1173	1751	1091
gene-OW489_RS03810	NZ_AP026446.1	807135	807635	-	501	5622	3400	4268	2291	4624	2116
gene-OW489_RS03815	NZ_AP026446.1	807652	809949	-	2298	13816	7920	11806	5159	15750	4172
gene-OW489_RS03820	NZ_AP026446.1	809961	812102	-	2142	22803	10435	14651	6803	14481	5637
gene-OW489_RS03825	NZ_AP026446.1	812304	813305	-	1002	2004	2817	3252	1848	2548	1569
gene-OW489_RS03830	NZ_AP026446.1	813431	814795	-	1365	2230	1598	2378	790	2081	731
gene-OW489_RS03835	NZ_AP026446.1	814814	815437	-	624	120	134	203	95	248	72
gene-OW489_RS03840	NZ_AP026446.1	815434	816132	-	699	268	343	591	283	696	230
gene-OW489_RS03845	NZ_AP026446.1	816143	817318	-	1176	819	563	1025	468	1288	344
gene-OW489_RS03850	NZ_AP026446.1	817576	818388	-	813	736	774	848	1414	1828	1302
gene-OW489_RS03855	NZ_AP026446.1	818525	820453	+	1929	983	1275	1350	462	740	516
gene-OW489_RS03860	NZ_AP026446.1	820701	823004	+	2304	1788	2640	4382	557	945	481
gene-OW489_RS03865	NZ_AP026446.1	823043	823789	-	747	540	812	913	518	689	372
gene-OW489_RS03870	NZ_AP026446.1	823873	825174	+	1302	285	464	504	713	628	673
gene-OW489_RS03875	NZ_AP026446.1	825407	825772	+	366	0	0	1	3	0	0
gene-OW489_RS03880	NZ_AP026446.1	825812	826306	+	495	46	20	51	37	219	28
gene-OW489_RS03885	NZ_AP026446.1	826606	826908	+	303	10	29	47	56	49	36
gene-OW489_RS03890	NZ_AP026446.1	826948	827445	+	498	0	0	0	0	0	0
gene-OW489_RS03895	NZ_AP026446.1	827615	829981	+	2367	9063	7378	8291	4559	5599	4292
gene-OW489_RS03900	NZ_AP026446.1	830043	830990	+	948	1637	1934	2139	1586	1950	1712
gene-OW489_RS03905	NZ_AP026446.1	831104	831871	+	768	92	144	187	55	90	74
gene-OW489_RS03910	NZ_AP026446.1	831875	832381	+	507	326	345	315	68	98	46
gene-OW489_RS03915	NZ_AP026446.1	832443	833510	-	1068	51	90	75	82	77	71
gene-OW489_RS03920	NZ_AP026446.1	833523	833666	-	144	0	0	0	0	0	0
gene-OW489_RS03925	NZ_AP026446.1	833960	835132	-	1173	2163	2496	2766	743	746	755
gene-OW489_RS03930	NZ_AP026446.1	835291	836103	-	813	11893	11789	12709	8968	10210	8685
gene-OW489_RS03940	NZ_AP026446.1	841285	842574	-	1290	1670	1620	1797	715	1056	675
gene-OW489_RS03945	NZ_AP026446.1	842571	843944	-	1374	2512	2085	2277	1284	1925	1136
gene-OW489_RS03950	NZ_AP026446.1	843944	844459	-	516	622	1201	1281	1076	1649	924
gene-OW489_RS03955	NZ_AP026446.1	844497	845594	-	1098	35	40	82	23	31	11
gene-OW489_RS03960	NZ_AP026446.1	845591	846310	-	720	267	298	318	82	142	101
gene-OW489_RS03965	NZ_AP026446.1	846285	846749	-	465	156	178	158	23	22	13
gene-OW489_RS03970	NZ_AP026446.1	846750	847757	-	1008	1352	1643	1666	276	442	244
gene-OW489_RS03975	NZ_AP026446.1	847768	849048	-	1281	2125	3138	3088	996	1231	884
gene-OW489_RS03980	NZ_AP026446.1	849048	850472	-	1425	10443	8170	8456	4636	6262	4160
gene-OW489_RS03985	NZ_AP026446.1	850472	851770	-	1299	7765	7125	7809	4441	6651	4326
gene-OW489_RS03990	NZ_AP026446.1	851776	852837	-	1062	6764	5172	5268	2711	3348	2574
gene-OW489_RS03995	NZ_AP026446.1	852839	855619	-	2781	4861	4130	5090	2469	3983	2258
gene-OW489_RS04000	NZ_AP026446.1	855657	856739	-	1083	820	1048	1274	1649	2046	1541
gene-OW489_RS04005	NZ_AP026446.1	857047	857550	+	504	2404	2640	2695	132694	158710	147839
gene-OW489_RS04010	NZ_AP026446.1	857566	858189	+	624	307	338	366	692	929	639
gene-OW489_RS04015	NZ_AP026446.1	858314	859510	+	1197	36	44	54	43	65	32
gene-OW489_RS04020	NZ_AP026446.1	859519	860109	-	591	910	1840	2052	684	887	490
gene-OW489_RS04025	NZ_AP026446.1	860154	861560	-	1407	13798	9329	9979	5216	6970	4960
gene-OW489_RS04030	NZ_AP026446.1	861618	862886	-	1269	1149	1006	1027	634	694	583
gene-OW489_RS04035	NZ_AP026446.1	862889	863296	-	408	860	973	1041	711	1340	592
gene-OW489_RS04040	NZ_AP026446.1	863308	864129	-	822	2666	3014	3347	3157	3814	2898
gene-OW489_RS04045	NZ_AP026446.1	864126	865808	-	1683	1470	2562	2645	992	1334	731
gene-OW489_RS04050	NZ_AP026446.1	865817	866110	-	294	413	592	574	422	551	344
gene-OW489_RS04055	NZ_AP026446.1	866107	867426	-	1320	3136	4070	4500	2266	3096	2085
gene-OW489_RS04060	NZ_AP026446.1	867592	868302	-	711	3386	2986	3436	3802	4395	3415
gene-OW489_RS04065	NZ_AP026446.1	868304	869161	-	858	3577	3216	3392	4050	5793	4023
gene-OW489_RS04070	NZ_AP026446.1	869176	869679	-	504	0	0	0	0	0	0
gene-OW489_RS04075	NZ_AP026446.1	869693	870901	-	1209	82	118	122	48	56	23
gene-OW489_RS04080	NZ_AP026446.1	870963	871643	+	681	500	505	578	404	458	320
gene-OW489_RS04085	NZ_AP026446.1	871681	872604	-	924	0	0	0	1	0	0
gene-OW489_RS04090	NZ_AP026446.1	872901	874145	-	1245	434	700	723	380	546	284
gene-OW489_RS04095	NZ_AP026446.1	874148	874870	-	723	543	630	658	324	432	394
gene-OW489_RS04100	NZ_AP026446.1	874883	875284	-	402	41	56	62	44	63	55
gene-OW489_RS04105	NZ_AP026446.1	875281	877026	-	1746	933	1257	1338	1132	1290	958
gene-OW489_RS04110	NZ_AP026446.1	877095	877727	-	633	164	374	319	247	342	236
gene-OW489_RS04115	NZ_AP026446.1	877997	878419	+	423	14713	8617	9332	10573	14051	10826
gene-OW489_RS04120	NZ_AP026446.1	878449	878919	+	471	9663	8194	8806	10838	13678	11072
gene-OW489_RS04125	NZ_AP026446.1	879195	880193	-	999	33	33	56	329	1063	263
gene-OW489_RS04130	NZ_AP026446.1	880323	881654	+	1332	398	367	418	1341	2730	1041
gene-OW489_RS04140	NZ_AP026446.1	883908	884825	-	918	491	760	941	490	749	502
gene-OW489_RS04145	NZ_AP026446.1	884795	885781	-	987	555	863	912	249	298	222
gene-OW489_RS04150	NZ_AP026446.1	885875	886906	-	1032	100	179	155	94	135	74
gene-OW489_RS04160	NZ_AP026446.1	887846	888112	-	267	1	2	6	8	10	4
gene-OW489_RS08195	NZ_AP026446.1	889967	890605	-	639	0	0	0	0	0	0
gene-OW489_RS08200	NZ_AP026446.1	890619	891782	-	1164	0	0	0	0	0	0
gene-OW489_RS04175	NZ_AP026446.1	891896	893215	-	1320	869	1013	921	1199	1511	1212
gene-OW489_RS04180	NZ_AP026446.1	893217	893678	-	462	542	893	957	979	1293	955
gene-OW489_RS04185	NZ_AP026446.1	893687	894796	-	1110	2362	1531	1598	1523	2021	1437
gene-OW489_RS04190	NZ_AP026446.1	894945	895421	+	477	110	284	268	115	171	99
gene-OW489_RS04195	NZ_AP026446.1	895499	896542	+	1044	1796	3493	3743	3430	4499	2923
gene-OW489_RS04200	NZ_AP026446.1	896542	897267	+	726	1409	1645	1802	654	759	567
gene-OW489_RS04205	NZ_AP026446.1	897254	898735	+	1482	1161	1495	1596	1022	1223	916
gene-OW489_RS04210	NZ_AP026446.1	898745	899230	+	486	708	736	763	433	490	382
gene-OW489_RS04215	NZ_AP026446.1	899295	900251	+	957	3146	2228	2204	2286	2407	2272
gene-OW489_RS04220	NZ_AP026446.1	900293	900369	-	77	0	0	0	0	0	0
gene-OW489_RS04225	NZ_AP026446.1	900331	901476	-	1146	630	740	738	265	414	246
gene-OW489_RS04240	NZ_AP026446.1	902853	903836	+	984	251	249	279	51	58	46
gene-OW489_RS04245	NZ_AP026446.1	903799	905046	+	1248	1321	2332	2354	2709	3631	2318
gene-OW489_RS04250	NZ_AP026446.1	905057	906238	+	1182	559	707	820	543	746	413
gene-OW489_RS04255	NZ_AP026446.1	906235	906906	+	672	787	1128	1033	680	809	663
gene-OW489_RS04260	NZ_AP026446.1	906893	907699	+	807	805	1094	1187	613	971	561
gene-OW489_RS04265	NZ_AP026446.1	907692	908894	+	1203	1144	2253	2338	2035	2763	1743
gene-OW489_RS04270	NZ_AP026446.1	908990	909349	+	360	1887	2542	2993	2089	2421	1846
gene-OW489_RS04275	NZ_AP026446.1	909366	911423	+	2058	3462	3500	4492	3373	4417	3531
gene-OW489_RS04280	NZ_AP026446.1	911471	911851	+	381	281	496	628	501	605	449
gene-OW489_RS04285	NZ_AP026446.1	911838	912077	+	240	46	166	178	94	123	86
gene-OW489_RS04290	NZ_AP026446.1	912130	912789	+	660	146	183	222	113	153	118
gene-OW489_RS04295	NZ_AP026446.1	912818	912964	+	147	26	52	68	56	94	38
gene-OW489_RS04300	NZ_AP026446.1	912968	913846	+	879	134	175	210	137	267	173
gene-OW489_RS04305	NZ_AP026446.1	913973	915286	+	1314	1397	1499	1572	778	1117	682
gene-OW489_RS04310	NZ_AP026446.1	915286	916602	+	1317	750	994	908	291	348	285
gene-OW489_RS04315	NZ_AP026446.1	916603	918114	-	1512	1212	1961	2363	1297	1751	1370
gene-OW489_RS04320	NZ_AP026446.1	918092	918739	-	648	4423	5546	6153	2493	3421	2403
